"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18";"TOTAL"
100;4;6;5;3;7;4;5;3;4;7;;4;3;5;3;5;3;4;80
101;3;6;;4;5;7;5;3;6;8;3;4;3;6;3;4;3;4;82
102;4;4;3;4;6;5;5;4;3;;;;;;;3;4;5;77
103;;;;;;;4;5;5;6;4;5;4;5;4;4;4;;84
104;5;;;;;;;;;;5;8;3;5;4;4;4;7;90
105;;;;;;;5;3;6;4;5;6;;;;;;;83
106;;4;5;3;7;;;;;;;;;;;;;;83
107;5;5;4;5;9;9;;;;;;;;;;;;;98
108;;;;;;;;;;4;4;5;;;;;;;76
109;5;4;3;5;6;;;;;;;;;;3;5;3;5;80
110;5;5;6;4;6;3;;4;5;6;6;9;3;4;3;4;4;5;87
111;4;4;5;3;6;4;3;3;4;5;4;;;;;;3;5;74
112;3;5;3;5;7;6;4;4;;;;;;;;;5;4;84
113;3;3;4;4;5;4;3;3;4;6;4;5;;;;;4;6;74
114;3;5;7;3;5;;;;;;;;;;;;;;82
115;4;5;5;3;6;5;3;4;;;5;6;4;5;4;4;4;7;85
116;;;7;3;6;;;;;;;;;;;;;;87
117;;;;;;;;;;;;6;;;;;;;85
118;;4;4;3;6;8;5;3;;;;;;;;;;;84
119;6;7;6;4;5;4;6;3;;;;;4;5;3;4;3;5;86
120;6;6;5;5;5;5;4;7;5;7;;;;5;4;5;3;4;91
121;;;;;;;;3;5;5;;;;;;;;;81
122;;;;3;6;5;3;4;;;;;;;;;;;79
123;;;;3;5;4;4;3;4;;;;;;;;;;75
124;;;;;;;;6;4;7;4;6;3;5;5;4;;;87
125;;;;;4;6;4;4;4;6;4;6;4;5;3;4;3;4;78
126;;;;;;;;;;;;4;4;8;;;;;89
127;;;;;;5;6;4;6;6;5;5;5;4;;;;;89
128;5;7;7;3;;;;;;;;;;5;4;4;5;7;94
129;;3;3;4;;;;;;;;;;;;;;;75
130;5;4;5;3;5;;;;;;;;;;;;4;5;81
131;3;6;4;3;8;5;5;4;5;;;;;;3;7;3;7;88
132;;4;;;;;;;;;;;;;;;;;82
133;4;4;4;3;5;5;3;3;4;;;;;;;;;4;73
134;4;4;4;3;4;3;;;;6;4;4;3;3;3;5;3;4;68
135;3;3;6;4;7;4;4;3;3;6;4;4;3;4;;;;;74
136;4;4;4;4;6;5;7;3;4;6;;;4;4;5;5;4;5;84
