"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18";"TOTAL"
408;;4;4;3;5;3;5;3;4;5;;;;;;;;;73
409;;;;;;;;;;;;;;3;4;4;;;77
410;7;5;4;;;;;;;;;;;4;3;5;3;4;82
411;;;;;;;;5;6;6;4;6;4;6;;;;;90
412;;;;;;;;;;;;;;;4;4;4;5;83
413;4;4;6;4;5;4;5;3;4;;;;;;3;4;3;3;75
414;4;4;6;3;5;;;;;;;;;;;;;;80
415;;;;;;;;5;4;7;5;5;3;6;4;;;;87
416;3;4;;;;;;;5;6;4;5;3;5;4;5;3;6;80
417;4;4;5;;;;;;;;;;;4;3;5;4;5;80
418;;;;;;6;5;5;5;6;5;5;3;6;3;3;3;;84
419;4;6;4;3;7;;;;;;;;;;;5;3;5;83
420;4;5;6;4;6;5;4;4;5;;;;;;;;4;6;87
421;3;4;6;3;6;5;6;3;4;6;5;;;;;5;3;5;81
422;;;;;;;;;;;;6;4;6;3;5;4;;87
423;4;;;;;4;5;3;5;8;9;4;4;4;5;8;3;4;90
424;;;;;;;;;3;7;6;5;3;6;;;;;84
425;;;;;;;7;;;;;;;;;;;;89
426;;;;;;;;;;6;6;5;;;;;;;86
427;4;5;5;4;5;;;;;;;;;6;3;4;3;4;79
428;;;;;5;4;5;4;4;6;;;;;;;;;81
429;4;4;4;;;;;;;6;5;5;3;3;4;5;3;5;77
430;4;5;5;4;;;;;;;;;;;3;5;4;5;83
431;4;5;4;;;;;;;;;;;5;4;4;4;4;80
432;4;4;;;;;;;5;7;6;7;4;6;3;6;3;5;89
433;;;6;3;6;4;5;3;5;7;5;5;3;4;;;;;82
434;7;6;4;4;5;6;4;4;;6;6;6;3;5;5;4;3;4;87
435;;;;;;6;4;5;5;;;;;;;;;;89
436;;;5;4;;;;;;;;;;;;;;;84
437;;;;;;;;;5;;;;;;;;;;84
438;5;5;7;3;7;5;5;4;5;6;;;;6;5;6;3;5;92
439;;;;;;;4;;;;;;;;;;;;81
440;;;;;6;4;6;3;4;5;5;4;3;;;;;;78
441;5;4;;;;;;;;;;;3;5;3;4;4;5;80
442;;;;;;;;3;6;4;6;6;3;7;;;;;87
443;;;;;;;6;3;3;7;5;4;3;;;;;;80
444;;;;;8;;;;;;;;;;;;;;88
445;;;;;;;;;5;7;5;4;3;4;3;4;3;;78
446;4;5;3;3;6;6;6;4;;;;;4;5;4;5;3;7;86
447;;;;;;3;;;;;;;;;;;;;79
448;5;5;6;;;;;;4;6;6;3;3;4;3;5;4;5;82
449;;;;;;;;;;;;;3;5;4;;;;82
450;4;4;3;4;6;;;;;;;;;;;5;3;4;77
451;3;5;4;5;7;6;5;4;4;6;;;;;;;;6;87
452;;;;;;4;6;5;5;5;;;;;;;;;87
453;;;;3;6;5;7;3;4;7;4;5;4;5;5;5;4;4;85
454;6;5;3;4;6;4;3;;;;;;;;;;;6;81
455;;;;;;4;4;3;4;5;5;4;3;3;3;3;;;70
456;3;4;;;6;5;5;6;4;5;6;8;3;6;5;4;6;7;92
457;;;;;5;4;4;4;4;4;5;4;;;;;;;75
458;;;;;;;;;;;;5;;;;;;;83
459;;;;;;;5;;;;;;;;;;;;84
460;;;;;;;;;;;;;;6;;;;;86
461;;;3;3;7;4;5;3;5;5;5;4;3;4;4;6;3;4;77
462;3;4;4;4;;3;8;3;4;5;4;3;3;3;3;4;3;4;70
463;4;4;3;3;5;4;4;;;;;;;4;4;4;4;4;72
464;3;4;5;4;7;3;6;;;;;;;;;;;5;81
465;;;5;4;7;4;5;4;4;7;8;5;6;4;;;;;91
466;3;3;;;;;;;;;;;;;;5;3;5;75
467;;;;7;6;;;;;;;;;;;;;;92
468;;;;;;;;;;;5;;;;;;;;83
469;4;4;3;3;5;5;4;3;5;5;4;5;3;4;4;4;;5;73
470;5;6;7;4;6;5;5;4;5;5;;;4;6;5;4;4;6;92
471;5;;;;5;7;5;4;5;5;4;6;4;6;5;5;3;7;90
472;4;6;3;3;5;5;4;;;;;;;5;4;4;3;4;76
473;;;;;;6;8;3;5;5;5;5;4;5;3;6;;;89
474;;;;3;5;4;3;3;4;6;4;;;;;;;;73
475;;;;;6;4;4;3;4;6;4;6;3;5;4;5;4;4;79
476;;;;3;5;4;5;3;4;5;6;6;3;4;4;;;;78
477;6;;;;6;4;6;4;4;7;4;5;3;4;5;4;4;5;84
478;3;;;;;;;;;;;;;7;3;4;5;5;84
479;;;;;;;;;;;7;5;3;5;3;5;;;84
480;;8;5;4;7;6;4;3;4;6;4;;;;;;;;88
481;;;;;;;8;5;5;5;;;;;;;;;93
482;;4;4;4;6;5;5;3;5;;;;;;;;;;82
483;6;5;4;3;6;5;4;3;5;;7;6;4;4;3;5;3;4;83
484;4;4;;;;;;;;6;4;5;3;4;4;4;4;4;77
485;;;;;;;4;3;7;6;4;5;3;5;5;;;;84
486;4;5;4;4;7;4;;;;;;4;3;3;4;5;4;5;79
487;;;;;;;;;;;;;;;;;4;;84
488;3;3;7;3;6;4;;;;;;;;;;6;3;5;80
489;;;;;;;;;4;5;4;;;;;;;;77
490;;;;;;;;;;;;;;6;5;5;3;7;91
491;5;5;;;;;;4;5;9;7;5;5;6;3;4;5;6;95
492;;;;;;;5;3;5;6;8;6;4;;;;;;90
493;;;;;;;;;;;;;;;;;4;;84
494;;;;;;;;;;;;;;;;;4;;84
495;5;5;5;5;9;7;7;3;5;6;4;;6;3;6;4;4;6;96
496;;;;;;;;;4;7;3;;;;;;;;79
497;4;6;4;3;5;5;;;;;;;;;;;3;5;80
498;4;5;7;4;;;;;;;7;8;3;6;5;4;5;7;98
499;;3;3;4;6;3;4;3;4;4;4;5;;;;;;;70
500;5;3;5;3;6;3;;;;;;;;3;6;4;3;6;79
501;;;;;;;5;4;4;5;5;5;4;5;3;5;3;;81
502;;;;;;;6;;;;;;;;;;;;86
503;4;5;7;4;;;;3;5;5;5;4;3;5;5;4;4;5;84
504;;;;;;;;;;5;4;5;3;4;4;6;4;;80
505;;;;;;;;;;;5;6;3;7;6;5;;;92
506;6;5;6;4;5;3;5;3;;5;5;5;3;5;4;5;3;4;80
507;5;6;6;4;6;4;5;;;7;6;3;3;7;4;6;4;5;90
508;;;;;;;;;4;6;6;6;;;;;;;86
509;;;;;;;;;4;7;4;6;;;;;;;84
510;5;3;3;4;5;4;;;;;;;4;4;5;4;3;5;76
511;6;4;;;;;;;;;4;4;3;3;5;4;3;4;76
512;5;5;6;4;;4;5;3;4;7;4;6;6;6;4;6;3;7;91
513;;;;;7;3;5;3;4;6;5;4;3;5;3;4;;;77
514;;;;;;;;3;4;5;4;5;4;4;4;;;;78
515;3;5;4;4;;6;4;4;7;9;7;7;4;7;6;6;6;4;100
516;3;3;3;3;8;4;4;5;4;;;;3;4;3;5;3;4;74
517;3;;;;;5;4;3;4;7;9;7;3;6;3;5;3;5;86
518;3;3;4;5;5;6;3;4;4;6;4;6;3;;;;;;77
519;4;4;4;5;5;7;5;3;;;6;6;4;5;4;6;6;6;91
520;5;6;;;;;;;;;;;;;;;3;5;86
521;3;4;4;4;5;6;4;;3;7;3;4;3;3;3;4;4;5;72
522;;;;4;7;5;6;4;5;7;5;5;3;5;3;6;;;88
523;;;;;;;;;;;;;;;;;4;;84
524;4;;;;;;;;;;;;;;;;3;6;82
525;5;4;3;6;5;6;4;4;4;5;4;6;3;6;4;7;4;;85
526;5;5;4;3;7;4;;;;;;;;;;;3;5;81
527;;4;4;4;5;5;5;3;4;5;3;;;;;;;;76
528;;;;;;;;;;;;;;;;;5;;88
529;;;;;;6;7;3;5;5;6;6;3;4;3;5;5;;88
530;7;4;7;;;;;;;;;;;4;3;4;6;7;93
531;;;;;;;;;;6;5;4;3;;;;;;79
532;;;;;;5;4;3;4;5;6;5;;;;;;;80
533;;;;;;;;;;;;;;4;6;7;3;3;86
534;4;6;7;4;7;4;;;;;;;;;;;;4;88
535;5;4;6;3;6;;;;;;;;;;;;;;84
536;;4;5;4;6;5;6;;;;;;;;;;;;86
537;;;;;;;;5;4;7;4;;;;;;;;86
538;;;;;;4;5;3;4;5;5;;;;;;;;79
539;4;5;5;3;5;5;;;;;4;5;3;5;5;5;3;6;82
540;3;;;;;;;;;;;;4;6;4;5;4;6;86
541;4;3;3;4;5;4;4;3;4;4;;4;6;5;3;4;3;5;73
542;;;;3;4;4;5;;;;;;;;;;;;76
543;4;5;5;4;6;5;3;5;;;;;;;3;5;4;3;81
544;5;5;6;4;6;;;;;;;;4;5;3;4;5;5;87
545;3;4;4;;;;5;3;4;6;6;5;4;6;4;5;3;5;81
546;;;;4;7;5;6;4;5;;;;;;;;;;90
547;4;7;5;4;;;;;;;30;7;4;6;4;5;3;5;91
548;4;5;4;3;5;5;5;3;4;7;7;7;;;4;4;3;6;85
549;;;;;;;;;;5;4;5;4;6;3;;;;81
550;4;5;4;4;5;5;4;3;;;;;;6;3;4;3;3;76
551;5;5;6;3;6;5;;3;4;8;6;5;3;4;5;5;3;5;86
552;6;5;5;4;6;6;6;4;;;7;7;8;5;3;5;3;6;98
553;5;4;6;5;6;4;;;5;5;7;4;3;7;3;6;3;5;87
554;5;5;;;;4;6;4;5;7;7;5;3;5;4;5;3;6;89
555;5;7;6;3;;;;;;;6;4;3;5;3;5;3;4;83
556;7;5;3;4;;;;;;;;5;3;5;3;5;3;4;81
557;;;;;;;;;;8;5;6;4;;;;;;90
558;;;;4;6;6;4;5;4;;;;;;;;;;86
559;6;8;4;7;4;7;7;4;5;8;6;;;;;;;;102
560;;;;;;4;4;3;4;6;6;4;;;;;;;79
561;5;6;4;4;5;4;;3;5;7;5;4;3;5;4;4;5;5;83
562;4;6;3;4;8;5;7;4;5;5;8;;;7;6;6;5;8;101
563;3;4;;;;;;3;5;5;4;4;3;4;4;5;3;5;74
564;5;4;;4;5;4;6;3;4;5;4;6;4;4;3;4;3;4;76
565;;;;;;;;;;;;;;4;3;;;;79
566;;;;;;;;;;;;6;5;6;;;;;92
567;;;;;5;5;;;;;;;;;;;;;82
568;;;;;;;;;;;5;6;5;33;3;5;3;;80
569;6;5;4;5;7;3;5;;;;;;3;4;4;4;4;5;83
570;;;;;;6;7;3;5;5;6;6;4;5;;;;;90
571;;;;;;3;4;3;4;6;4;4;5;4;4;4;;;75
572;;;;;;;;;;;;4;3;3;3;5;3;;74
573;;;;4;7;5;6;3;5;5;7;6;4;5;3;;;;89
574;5;4;;;;;;;;;;5;4;7;4;5;4;4;86
575;6;6;5;5;5;5;4;7;5;6;4;6;4;;;5;3;4;89
576;;;;;;;;3;5;6;6;4;4;4;7;5;;;87
577;;4;;;;;;;;;;;;;;;;;82
578;;6;6;4;6;4;6;;;;;;;;;;;;89
579;6;4;7;3;8;4;5;3;5;;3;5;3;5;3;5;3;6;84
580;4;5;7;;;;;;;;;;;;;;4;4;86
581;4;5;4;;;;;;;;;;5;6;3;5;4;4;84
582;;;;;;;;;4;7;3;4;3;;;;;;76
583;5;6;4;4;;;;;;;5;6;5;30;3;5;3;4;85
584;;;;;;;;;;;4;;;;;;;;81
585;;;6;4;6;6;5;5;5;6;6;5;;;;;;;91
586;5;4;6;3;6;4;;;;;;;;3;3;5;3;3;76
587;;;;;;;;;4;6;4;;;;;;;;80
588;4;4;8;4;7;4;;;;;;6;5;3;4;4;3;5;85
589;;5;3;4;5;7;5;3;6;8;3;;;;;;;;85
590;6;4;5;3;6;5;4;4;4;5;4;5;4;6;;;3;5;81
591;4;5;4;4;6;6;5;4;;;;;;;;;;6;87
592;;;;;;5;4;4;4;7;5;;;;;;;;84
593;;;;;;;;3;4;7;6;5;3;4;3;4;;;79
594;3;4;4;3;6;4;4;;;;;;;;;;3;6;76
595;5;6;5;4;6;;;;4;5;6;5;3;5;4;5;4;7;88
596;;;;;;4;4;4;4;5;4;5;3;4;;;;;75
597;5;6;6;3;5;5;5;3;5;5;4;5;3;5;;;;6;83
598;6;5;;;;;;;;;;;;;;;3;6;88
599;4;4;4;4;7;4;5;3;4;6;6;;;;;4;3;4;79
600;4;;;4;8;4;6;3;7;6;4;5;3;5;5;4;3;6;87
